epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5596.41,1.30112,0.97487,1.28908,0.83129,0.74126,0.81975,0.51664,1.42309,0.92823,1.38068,0.00875108,0.00875108,0.00875108
43,5726.36,1.29767,0.97092,1.29464,0.84793,0.73694,0.82632,0.51982,1.42075,0.91741,1.38086,0.00872062,0.00872062,0.00872062
44,5856.62,1.28976,0.9601,1.29074,0.85148,0.74192,0.8294,0.5182,1.41766,0.90751,1.37394,0.00869015,0.00869015,0.00869015
45,5998.41,1.2824,0.94698,1.28053,0.85615,0.73702,0.83012,0.52893,1.38322,0.90338,1.35336,0.00865969,0.00865969,0.00865969
46,6128.37,1.27933,0.95377,1.28553,0.85296,0.74593,0.83421,0.53321,1.37792,0.88838,1.35458,0.00862923,0.00862923,0.00862923
47,6258.45,1.2718,0.94236,1.28126,0.84915,0.7515,0.83585,0.53317,1.38814,0.89373,1.3552,0.00859877,0.00859877,0.00859877
48,6400.1,1.26032,0.9283,1.27428,0.85554,0.75306,0.83494,0.53664,1.37558,0.88603,1.35527,0.00856831,0.00856831,0.00856831
49,6530.02,1.26128,0.93018,1.26896,0.8525,0.75574,0.83594,0.53987,1.36581,0.87779,1.34983,0.00853785,0.00853785,0.00853785
50,6660.24,1.25439,0.92669,1.26361,0.85989,0.75685,0.84048,0.54293,1.35857,0.87353,1.34439,0.00850738,0.00850738,0.00850738
51,6789.97,1.25048,0.92281,1.26669,0.85891,0.75886,0.8387,0.54437,1.35602,0.87558,1.34292,0.00847692,0.00847692,0.00847692
52,6931.71,1.23879,0.90318,1.25386,0.87406,0.75373,0.84427,0.54968,1.34288,0.862,1.33323,0.00844646,0.00844646,0.00844646
53,7060.98,1.23511,0.89322,1.25287,0.87121,0.75983,0.84421,0.55455,1.34106,0.85648,1.3308,0.008416,0.008416,0.008416
54,7190.84,1.2405,0.9026,1.25439,0.85802,0.77312,0.8445,0.55599,1.33232,0.84913,1.32527,0.00838554,0.00838554,0.00838554
55,7332.71,1.22501,0.88465,1.2458,0.86525,0.76465,0.84952,0.56024,1.32765,0.83443,1.32028,0.00835508,0.00835508,0.00835508
56,7462.27,1.22934,0.89709,1.24444,0.86771,0.77041,0.85129,0.56116,1.31591,0.83956,1.31278,0.00832462,0.00832462,0.00832462
57,7592.67,1.22072,0.87875,1.23817,0.87106,0.76844,0.85215,0.56435,1.31252,0.83736,1.30598,0.00829415,0.00829415,0.00829415
58,7722.67,1.21605,0.87462,1.23586,0.87862,0.76822,0.85163,0.56642,1.31624,0.83711,1.31731,0.00826369,0.00826369,0.00826369
59,7864.45,1.20129,0.86868,1.23002,0.86794,0.77629,0.851,0.57082,1.30756,0.83716,1.31152,0.00823323,0.00823323,0.00823323
60,7994.62,1.20949,0.86202,1.22819,0.86428,0.78003,0.85059,0.5703,1.30591,0.83368,1.31308,0.00820277,0.00820277,0.00820277
61,8124.88,1.20834,0.86889,1.2339,0.87376,0.76867,0.85231,0.57307,1.29791,0.83016,1.30715,0.00817231,0.00817231,0.00817231
62,8267.17,1.20137,0.85824,1.23478,0.88444,0.7676,0.85361,0.57483,1.29453,0.82102,1.3019,0.00814185,0.00814185,0.00814185
63,8397.24,1.2025,0.8603,1.22803,0.87894,0.77268,0.85412,0.57693,1.28964,0.81753,1.29886,0.00811138,0.00811138,0.00811138
64,8527.41,1.18849,0.8474,1.21997,0.88201,0.77691,0.8572,0.57944,1.28705,0.817,1.29693,0.00808092,0.00808092,0.00808092
65,8657.56,1.19119,0.84219,1.21812,0.87927,0.78003,0.85685,0.58218,1.28325,0.81404,1.29786,0.00805046,0.00805046,0.00805046
66,8799.08,1.18539,0.84722,1.22798,0.87679,0.77914,0.85739,0.58203,1.28479,0.81539,1.3014,0.00802,0.00802,0.00802
67,8928.89,1.17908,0.83303,1.2181,0.88091,0.77647,0.85787,0.58364,1.28317,0.81407,1.29768,0.00798954,0.00798954,0.00798954
68,9059.05,1.17569,0.83305,1.21479,0.88388,0.77067,0.85711,0.58464,1.27484,0.81403,1.29135,0.00795908,0.00795908,0.00795908
69,9200.88,1.17503,0.8307,1.20801,0.87952,0.77279,0.85778,0.58579,1.27284,0.80651,1.29059,0.00792862,0.00792862,0.00792862
