epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3272.57,1.40831,1.11764,1.36734,0.78287,0.72743,0.79367,0.4654,1.53247,1.02941,1.45789,0.00875108,0.00875108,0.00875108
43,3354.74,1.3982,1.10784,1.36473,0.79955,0.72097,0.78853,0.46562,1.52677,1.0286,1.45679,0.00872062,0.00872062,0.00872062
44,3437.89,1.39253,1.09956,1.36237,0.80724,0.71763,0.796,0.47119,1.5134,1.02604,1.45169,0.00869015,0.00869015,0.00869015
45,3520.09,1.39022,1.0912,1.35657,0.80723,0.7183,0.79541,0.474,1.50799,1.01795,1.4448,0.00865969,0.00865969,0.00865969
46,3602.55,1.39161,1.1005,1.36008,0.8027,0.71903,0.79773,0.47754,1.50875,1.01227,1.44442,0.00862923,0.00862923,0.00862923
47,3685.03,1.38027,1.08911,1.36022,0.81549,0.71874,0.79861,0.47835,1.4957,1.00824,1.43627,0.00859877,0.00859877,0.00859877
48,3768.03,1.37188,1.0776,1.35429,0.80252,0.72431,0.79793,0.48255,1.48143,1.00859,1.43194,0.00856831,0.00856831,0.00856831
49,3850.63,1.37477,1.08031,1.34714,0.81171,0.71897,0.80029,0.48497,1.4792,0.98924,1.42362,0.00853785,0.00853785,0.00853785
50,3933.64,1.37015,1.06984,1.34295,0.82392,0.71645,0.80554,0.48814,1.47476,0.99008,1.41936,0.00850738,0.00850738,0.00850738
51,4017.03,1.36709,1.07081,1.35158,0.82105,0.71681,0.80375,0.48757,1.48028,0.98539,1.42876,0.00847692,0.00847692,0.00847692
52,4100.11,1.36006,1.05842,1.34087,0.81783,0.73055,0.80821,0.48883,1.47638,0.97351,1.42479,0.00844646,0.00844646,0.00844646
53,4183.49,1.35301,1.05115,1.33693,0.81573,0.73404,0.81166,0.49614,1.45897,0.97193,1.41372,0.008416,0.008416,0.008416
54,4266.3,1.36058,1.0615,1.34181,0.82004,0.72915,0.81056,0.49818,1.45027,0.96176,1.41047,0.00838554,0.00838554,0.00838554
55,4349.75,1.34986,1.03772,1.33357,0.82209,0.73055,0.81459,0.49958,1.44229,0.95125,1.40541,0.00835508,0.00835508,0.00835508
56,4433.08,1.35519,1.04552,1.33219,0.81959,0.73613,0.81499,0.50238,1.44583,0.95169,1.40028,0.00832462,0.00832462,0.00832462
57,4517.13,1.35284,1.04102,1.33213,0.8116,0.73501,0.81498,0.50309,1.44108,0.95096,1.39513,0.00829415,0.00829415,0.00829415
58,4600.81,1.34479,1.03308,1.32919,0.82115,0.73323,0.81702,0.50746,1.43957,0.94813,1.39331,0.00826369,0.00826369,0.00826369
