epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8681.44,2.90294,2.42255,2.7357,0.79302,0.70025,0.77708,0.45879,3.07603,2.12735,2.93259,0.00875108,0.00875108,0.00875108
43,8928.3,2.89108,2.39819,2.73522,0.79511,0.69378,0.77983,0.46014,3.06283,2.12192,2.94156,0.00872062,0.00872062,0.00872062
44,9176.36,2.89315,2.38205,2.73419,0.79518,0.69824,0.78322,0.46571,3.04835,2.10639,2.91112,0.00869015,0.00869015,0.00869015
45,9431.29,2.8804,2.3682,2.72548,0.80332,0.71072,0.78769,0.4702,3.03168,2.0765,2.89411,0.00865969,0.00865969,0.00865969
46,9680.85,2.88489,2.3761,2.73528,0.81857,0.70158,0.7925,0.47352,3.02698,2.07564,2.90802,0.00862923,0.00862923,0.00862923
47,9924.58,2.85049,2.35528,2.71675,0.80887,0.71021,0.79321,0.47215,3.03644,2.0569,2.90436,0.00859877,0.00859877,0.00859877
48,10177.7,2.83894,2.32617,2.71441,0.81824,0.71005,0.79703,0.47836,3.01547,2.03808,2.89595,0.00856831,0.00856831,0.00856831
49,10428.5,2.84131,2.33318,2.69778,0.80343,0.71598,0.79573,0.48345,3.00267,2.02616,2.87864,0.00853785,0.00853785,0.00853785
50,10686.7,2.84364,2.31404,2.69137,0.80147,0.71897,0.79709,0.48274,3.00177,2.02701,2.86414,0.00850738,0.00850738,0.00850738
51,10962.5,2.83973,2.32282,2.71048,0.8075,0.71798,0.80064,0.48467,2.98489,2.02369,2.86095,0.00847692,0.00847692,0.00847692
52,11204.9,2.82398,2.28108,2.67316,0.80784,0.72231,0.79933,0.48616,2.99706,2.01412,2.86214,0.00844646,0.00844646,0.00844646
53,11471.8,2.81048,2.26468,2.6819,0.82731,0.7164,0.80141,0.4875,2.97689,2.00474,2.85985,0.008416,0.008416,0.008416
54,11736.5,2.81487,2.28176,2.68431,0.81206,0.7154,0.79618,0.48961,2.95549,2.00623,2.86069,0.00838554,0.00838554,0.00838554
55,12004,2.80218,2.24062,2.67361,0.821,0.71757,0.80246,0.49356,2.93629,1.99475,2.83859,0.00835508,0.00835508,0.00835508
56,12269.4,2.80833,2.27028,2.67612,0.83041,0.72521,0.80906,0.49852,2.93785,1.98024,2.84331,0.00832462,0.00832462,0.00832462
57,12491,2.79781,2.23888,2.66578,0.81675,0.73412,0.81072,0.50151,2.91778,1.96211,2.82072,0.00829415,0.00829415,0.00829415
58,12763.8,2.78959,2.22305,2.6599,0.82724,0.73368,0.81365,0.5039,2.92148,1.93528,2.82118,0.00826369,0.00826369,0.00826369
59,13030.9,2.76268,2.20595,2.64541,0.81758,0.74114,0.81179,0.50449,2.9091,1.94592,2.8175,0.00823323,0.00823323,0.00823323
60,13302.3,2.78957,2.20525,2.6564,0.82591,0.74482,0.81489,0.50588,2.89902,1.94016,2.81846,0.00820277,0.00820277,0.00820277
61,13566.8,2.77079,2.20502,2.64515,0.81719,0.74816,0.81559,0.50835,2.89746,1.93957,2.80894,0.00817231,0.00817231,0.00817231
62,13838.1,2.76926,2.1964,2.65636,0.82819,0.7359,0.81801,0.50749,2.89085,1.94678,2.80368,0.00814185,0.00814185,0.00814185
63,14067.9,2.77058,2.20106,2.64279,0.83728,0.73279,0.81896,0.51357,2.87593,1.92852,2.79514,0.00811138,0.00811138,0.00811138
64,14336.4,2.75245,2.1744,2.62438,0.83369,0.73175,0.81689,0.51393,2.88294,1.90825,2.79082,0.00808092,0.00808092,0.00808092
65,14616.8,2.75477,2.16634,2.62673,0.84322,0.72881,0.81675,0.51747,2.86484,1.90806,2.78165,0.00805046,0.00805046,0.00805046
66,14886.6,2.74213,2.16659,2.64378,0.84073,0.73524,0.81858,0.51685,2.86463,1.90187,2.77816,0.00802,0.00802,0.00802
